Site,Lat,Long,Precip,Year
MM,33.99009,-107.18407,355.6470032,2017
MM,33.99193,-107.18359,355.6470032,2017
MM,33.991475,-107.183675,355.6470032,2017
PL,32.66931,-109.87794,570.9430542,2017
PL,32.66931,-109.87794,570.9430542,2017
PL,32.668392,-109.877642,570.9430542,2017
PL,32.66931,-109.87794,570.9430542,2017
RP,31.90382,-109.27888,574.0280151,2017
RP,31.90382,-109.27966,574.0280151,2017
RP,31.90382,-109.27966,574.0280151,2017
RP,31.9038,-109.28021,574.0280151,2017
SC,35.20589,-106.44305,490.289032,2017
SC,35.20635,-106.443375,490.289032,2017
SC,35.20518,-106.44238,490.289032,2017
SC,35.2058,-106.44234,490.289032,2017
SH,31.917411,-109.278936,574.0280151,2017
SM,35.24837,-107.59946,635.4110107,2017
SM,35.24688,-107.60036,635.4110107,2017
SM,35.24745,-107.59966,635.4110107,2017
SM,35.24685,-107.59916,635.4110107,2017
SM,35.24711,-107.59861,635.4110107,2017
SS,32.78859,-105.786,565.6060181,2017
SS,32.78859,-105.786,565.6060181,2017
SS,32.78859,-105.786,565.6060181,2017
UK,32.88197,-105.7748,619.6210327,2017
UK,32.88197,-105.7748,619.6210327,2017
UK,32.88197,-105.7748,619.6210327,2017
VC,35.92265,-106.51702,551.0390015,2017
VC,35.92213,-106.51733,551.0390015,2017
VC,35.92178,-106.51765,551.0390015,2017
CC,32.8038,-105.80444,635.2800293,2018
CH,31.91744,-109.27863,910.243042,2018
CH,31.91721,-109.27945,910.243042,2018
CH,31.9176,-109.2793,910.243042,2018
HM,33.63195,-109.32533,638.9260254,2018
HM,33.63202,-109.32601,638.9260254,2018
HM,33.63202,-109.32601,638.9260254,2018
HM,33.63233,-109.32636,638.9260254,2018
JC,35.85509,-105.64057,734.3000488,2018
JC,35.85482,-105.63925,734.3000488,2018
JC,35.8555,-105.63979,734.3000488,2018
JC,35.855092,-105.640575,734.3000488,2018
JM,36.02121,-106.58978,495.2760315,2018
MM,33.99105,-107.18371,552.7340088,2018
MM,33.99009,-107.18407,552.7340088,2018
MM,33.99193,-107.18359,552.7340088,2018
MM,33.991475,-107.183675,552.7340088,2018
PL,32.66931,-109.87794,832.0170288,2018
PL,32.66931,-109.87794,832.0170288,2018
PL,32.668392,-109.877642,832.0170288,2018
PL,32.66931,-109.87794,832.0170288,2018
RP,31.90382,-109.27888,910.243042,2018
RP,31.90382,-109.27966,910.243042,2018
RP,31.90382,-109.27966,910.243042,2018
RP,31.9038,-109.28021,910.243042,2018
SC,35.20589,-106.44305,536.3210449,2018
SC,35.20635,-106.443375,536.3210449,2018
SC,35.20518,-106.44238,536.3210449,2018
SC,35.2058,-106.44234,536.3210449,2018
SH,31.917411,-109.278936,910.243042,2018
SM,35.24837,-107.59946,584.69104,2018
SM,35.24688,-107.60036,584.69104,2018
SM,35.24745,-107.59966,584.69104,2018
SM,35.24685,-107.59916,584.69104,2018
SM,35.24711,-107.59861,584.69104,2018
SS,32.78859,-105.786,635.2800293,2018
SS,32.78859,-105.786,635.2800293,2018
SS,32.78859,-105.786,635.2800293,2018
UK,32.88197,-105.7748,673.000061,2018
UK,32.88197,-105.7748,673.000061,2018
UK,32.88197,-105.7748,673.000061,2018
VC,35.92265,-106.51702,530.1010132,2018
VC,35.92213,-106.51733,530.1010132,2018
VC,35.92178,-106.51765,530.1010132,2018
CC,32.8038,-105.80444,644.039978,2019
CH,31.91744,-109.27863,859.1999512,2019
CH,31.91721,-109.27945,859.1999512,2019
CH,31.9176,-109.2793,859.1999512,2019
HM,33.63195,-109.32533,892.4608765,2019
HM,33.63202,-109.32601,892.4608765,2019
HM,33.63202,-109.32601,892.4608765,2019
HM,33.63233,-109.32636,892.4608765,2019
JC,35.85509,-105.64057,789.7778931,2019
JC,35.85482,-105.63925,789.7778931,2019
JC,35.8555,-105.63979,789.7778931,2019
JC,35.855092,-105.640575,789.7778931,2019
JM,36.02121,-106.58978,650.5689697,2019
MM,33.99105,-107.18371,552.3218994,2019
MM,33.99009,-107.18407,552.3218994,2019
MM,33.99193,-107.18359,552.3218994,2019
MM,33.991475,-107.183675,552.3218994,2019
PL,32.66931,-109.87794,845.3129883,2019
PL,32.66931,-109.87794,845.3129883,2019
PL,32.668392,-109.877642,845.3129883,2019
PL,32.66931,-109.87794,845.3129883,2019
RP,31.90382,-109.27888,859.1999512,2019
RP,31.90382,-109.27966,859.1999512,2019
RP,31.90382,-109.27966,859.1999512,2019
RP,31.9038,-109.28021,859.1999512,2019
SC,35.20589,-106.44305,513.4710083,2019
SC,35.20635,-106.443375,513.4710083,2019
SC,35.20518,-106.44238,513.4710083,2019
SC,35.2058,-106.44234,513.4710083,2019
SH,31.917411,-109.278936,859.1999512,2019
SM,35.24837,-107.59946,675.9609985,2019
SM,35.24688,-107.60036,675.9609985,2019
SM,35.24745,-107.59966,675.9609985,2019
SM,35.24685,-107.59916,675.9609985,2019
SM,35.24711,-107.59861,675.9609985,2019
SS,32.78859,-105.786,644.039978,2019
SS,32.78859,-105.786,644.039978,2019
SS,32.78859,-105.786,644.039978,2019
UK,32.88197,-105.7748,734.440979,2019
UK,32.88197,-105.7748,734.440979,2019
UK,32.88197,-105.7748,734.440979,2019
VC,35.92265,-106.51702,625.7119751,2019
VC,35.92213,-106.51733,625.7119751,2019
VC,35.92178,-106.51765,625.7119751,2019
CC,32.8038,-105.80444,509.7269897,2020
CH,31.91744,-109.27863,446.0279846,2020
CH,31.91721,-109.27945,446.0279846,2020
CH,31.9176,-109.2793,446.0279846,2020
HM,33.63195,-109.32533,444.756897,2020
HM,33.63202,-109.32601,444.756897,2020
HM,33.63202,-109.32601,444.756897,2020
HM,33.63233,-109.32636,444.756897,2020
JC,35.85509,-105.64057,435.3808899,2020
JC,35.85482,-105.63925,435.3808899,2020
JC,35.8555,-105.63979,435.3808899,2020
JC,35.855092,-105.640575,435.3808899,2020
JM,36.02121,-106.58978,392.1819763,2020
MM,33.99105,-107.18371,476.5168762,2020
MM,33.99009,-107.18407,476.5168762,2020
MM,33.99193,-107.18359,476.5168762,2020
MM,33.991475,-107.183675,476.5168762,2020
PL,32.66931,-109.87794,441.8408813,2020
PL,32.66931,-109.87794,441.8408813,2020
